invoice_id,invoice_number,invoice_date,due_date,vendor_id,vendor_name,vendor_email,vendor_address,purchase_order_number,item_description,quantity,unit_price,subtotal,tax_amount,discount,total_amount,currency,currency_change_flag,bank_account_number,bank_name,payment_method,duplicate_invoice,bank_changed,vendor_avg_amount,amount_ratio,invoice_frequency_last30days,vendor_risk_score,days_since_last_invoice,is_new_vendor,fraud_label
INV-10984,INVNO-2103,2025-02-26,2025-03-28,V-139,ABC Steel,abcsteel@example.com,Mumbai Industrial Area,PO-5416,Industrial Tools,34,290,9860,660.99,793,9727.99,USD,0,7418529630,Kotak Bank,UPI,0,0,67668,0.14,7,0.29,-230,0,1
INV-10900,INVNO-5858,2025-04-04,2025-05-04,V-820,Metro Logistics,metrologistics@example.com,Chennai Port District,PO-2892,Transport Services,178,1897,337666,29960.53,1173,366453.53,EUR,1,7418529630,ICICI Bank,Bank Transfer,1,1,40963,8.95,2,0.87,-325,0,1
INV-10778,INVNO-2313,2025-02-03,2025-03-05,V-540,ABC Steel,abcsteel@example.com,Bangalore Tech Zone,PO-1500,Industrial Tools,4,208,832,121.18,1401,-447.82,USD,0,7539514560,Axis Bank,UPI,1,0,44990,-0.01,3,0.34,-220,0,1
INV-10706,INVNO-4967,2025-09-07,2025-10-07,V-845,Sunrise Traders,sunrisetraders@example.com,Hyderabad Logistics Park,PO-5995,Industrial Tools,186,216,40176,2513.76,1143,41546.76,USD,0,1234567890,ICICI Bank,Cheque,0,0,59514,0.7,6,0.85,-122,1,1
INV-10380,INVNO-5567,2025-08-27,2025-09-26,V-851,Sunrise Traders,sunrisetraders@example.com,Hyderabad Logistics Park,PO-1862,Packaging Materials,161,496,79856,10661.51,1745,88772.51,INR,1,7418529630,ICICI Bank,Cheque,0,0,78668,1.13,9,0.76,160,0,1
INV-10367,INVNO-4153,2026-04-20,2026-05-20,V-218,Sunrise Traders,sunrisetraders@example.com,Hyderabad Logistics Park,PO-2620,Electronic Components,279,524,146196,12451.81,1958,156689.81,INR,1,4567891230,Kotak Bank,Bank Transfer,1,0,55445,2.83,3,0.42,63,0,1
INV-10532,INVNO-8244,2025-10-19,2025-11-18,V-719,Metro Logistics,metrologistics@example.com,Bangalore Tech Zone,PO-6456,Transport Services,207,962,199134,10169.07,1865,207438.07,EUR,1,1234567890,IndusInd Bank,Cheque,0,0,61770,3.36,5,0.49,269,0,0
INV-10626,INVNO-8676,2025-12-12,2026-01-11,V-273,Omega Supplies,omegasupplies@example.com,Delhi Business Park,PO-1744,Office Equipment,5,820,4100,500.99,1135,3465.99,EUR,1,7539514560,ICICI Bank,Cheque,1,1,74127,0.05,2,0.64,253,0,1
INV-10254,INVNO-5840,2025-09-20,2025-10-20,V-225,Delta Electronics,deltaelectronics@example.com,Mumbai Industrial Area,PO-7309,Industrial Tools,218,1903,414854,43888.55,1069,457673.55,INR,1,1593572580,Kotak Bank,Bank Transfer,0,0,47223,9.69,8,0.5,-105,0,1
INV-10078,INVNO-3577,2025-11-24,2025-12-24,V-636,Global Plastics,globalplastics@example.com,Hyderabad Logistics Park,PO-2394,Packaging Materials,194,1779,345126,32090.06,715,376501.06,INR,0,7539514560,HDFC Bank,Bank Transfer,0,1,41248,9.13,5,0.76,-115,0,1
INV-10029,INVNO-2898,2025-04-26,2025-05-26,V-570,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-7377,Plastic Containers,259,159,41181,2924.4,1639,42466.4,EUR,1,7418529630,Kotak Bank,Wire,1,0,78217,0.54,2,0.16,-238,0,1
INV-10220,INVNO-3461,2025-08-20,2025-09-19,V-715,Metro Logistics,metrologistics@example.com,Delhi Business Park,PO-1970,Machine Spare Parts,390,625,243750,38352.12,406,281696.12,EUR,1,8529637410,State Bank,Wire,0,1,56379,5.0,2,0.51,37,1,1
INV-10239,INVNO-5208,2026-02-12,2026-03-14,V-660,Omega Supplies,omegasupplies@example.com,Hyderabad Logistics Park,PO-5199,Office Equipment,383,1406,538498,28404.26,820,566082.26,USD,0,9876543210,Kotak Bank,Wire,0,0,49109,11.53,7,0.64,94,1,1
INV-10680,INVNO-7795,2025-03-27,2025-04-26,V-808,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-6656,Electronic Components,317,1251,396567,69363.82,875,465055.82,EUR,1,1234567890,IndusInd Bank,UPI,1,0,64679,7.19,6,0.14,-144,0,1
INV-10049,INVNO-5423,2025-11-07,2025-12-07,V-595,Omega Supplies,omegasupplies@example.com,Delhi Business Park,PO-7599,Steel Sheets,320,1627,520640,78020.72,1437,597223.72,EUR,1,1593572580,IndusInd Bank,Cheque,0,0,40593,14.71,9,0.42,-178,0,1
INV-10051,INVNO-6297,2026-05-15,2026-06-14,V-338,Prime Packaging,primepackaging@example.com,Chennai Port District,PO-6569,Transport Services,84,109,9156,1039.68,338,9857.68,EUR,1,9876543210,Axis Bank,UPI,0,0,67099,0.15,1,0.22,37,0,0
INV-10044,INVNO-1237,2026-03-28,2026-04-27,V-786,Sunrise Traders,sunrisetraders@example.com,Mumbai Industrial Area,PO-4947,Steel Sheets,171,1653,282663,23930.34,56,306537.34,INR,1,1593572580,State Bank,Cheque,0,0,78670,3.9,10,0.24,84,0,0
INV-ADD-41,INVNO-ADD-5132,2025-11-28,2025-12-28,V-567,Metro Logistics,vendor@example.com,Hyderabad Logistics Park,PO-4257,Office Equipment,153,1262,193086,22580.82,376,215290.82,EUR,0,7418529630,Kotak Bank,UPI,0,0,71777,3.0,4,0.32,83,0,0
INV-ADD-87,INVNO-ADD-9424,2026-01-27,2026-02-26,V-317,Prime Packaging,vendor@example.com,Mumbai Industrial Area,PO-8077,Electronic Components,129,1454,187566,16869.77,888,203547.77,EUR,0,8529637410,Axis Bank,Bank Transfer,0,0,78264,2.6,2,0.28,26,0,0
INV-10428,INVNO-7253,2025-03-26,2025-04-25,V-168,Omega Supplies,omegasupplies@example.com,Ahmedabad Trade Center,PO-4980,Steel Sheets,46,1962,90252,8674.17,1471,97455.17,USD,0,3216549870,Kotak Bank,UPI,0,0,60583,1.61,3,0.87,-27,0,1
INV-10705,INVNO-7951,2025-09-26,2025-10-26,V-678,Metro Logistics,metrologistics@example.com,Delhi Business Park,PO-9074,Transport Services,269,1882,506258,47435.41,788,552905.41,USD,1,1234567890,Axis Bank,UPI,0,0,41210,13.42,1,0.39,-50,0,1
INV-10526,INVNO-6997,2026-02-16,2026-03-18,V-239,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-6563,Transport Services,269,888,238872,40880.3,971,278781.3,INR,0,4567891230,IndusInd Bank,Wire,0,1,44878,6.21,3,0.16,0,1,1
INV-10857,INVNO-8355,2025-03-11,2025-04-10,V-854,Omega Supplies,omegasupplies@example.com,Pune Manufacturing Hub,PO-8998,Office Equipment,219,761,166659,23213.51,369,189503.51,INR,1,4567891230,Axis Bank,Bank Transfer,1,0,46843,4.05,3,0.87,14,0,1
INV-10772,INVNO-5462,2025-04-02,2025-05-02,V-985,Prime Packaging,primepackaging@example.com,Mumbai Industrial Area,PO-3564,Industrial Tools,37,1548,57276,6162.7,1905,61533.7,USD,0,7539514560,ICICI Bank,Cheque,1,0,78283,0.79,6,0.29,-149,0,1
INV-10101,INVNO-1223,2025-08-26,2025-09-25,V-722,ABC Steel,abcsteel@example.com,Bangalore Tech Zone,PO-4020,Industrial Tools,84,881,74004,4731.61,1602,77133.61,USD,0,8529637410,Kotak Bank,UPI,0,1,45132,1.71,4,0.5,-138,0,1
INV-10422,INVNO-4913,2025-12-21,2026-01-20,V-576,Sunrise Traders,sunrisetraders@example.com,Pune Manufacturing Hub,PO-5766,Machine Spare Parts,208,580,120640,13086.33,989,132737.33,INR,1,1593572580,HDFC Bank,Bank Transfer,0,0,74795,1.77,3,0.33,311,0,0
INV-10244,INVNO-3276,2025-12-18,2026-01-17,V-755,Sunrise Traders,sunrisetraders@example.com,Bangalore Tech Zone,PO-5999,Office Equipment,264,1427,376728,53962.75,1084,429606.75,INR,1,1593572580,IndusInd Bank,Cheque,0,1,54089,7.94,5,0.38,83,1,1
INV-10707,INVNO-8480,2025-04-28,2025-05-28,V-413,Global Plastics,globalplastics@example.com,Delhi Business Park,PO-3850,Steel Sheets,279,1438,401202,50769.34,1359,450612.34,EUR,1,7418529630,HDFC Bank,Cheque,1,0,47851,9.42,9,0.54,-292,0,1
INV-ADD-395,INVNO-ADD-3963,2025-07-28,2025-08-27,V-692,Omega Supplies,vendor@example.com,Ahmedabad Trade Center,PO-8773,Plastic Containers,68,282,19176,1433.35,674,19935.35,USD,0,8529637410,IndusInd Bank,Wire,0,0,56038,0.36,5,0.16,73,0,0
INV-ADD-9,INVNO-ADD-8774,2026-04-04,2026-05-04,V-380,Delta Electronics,vendor@example.com,Mumbai Industrial Area,PO-7845,Transport Services,45,1061,47745,3664.05,606,50803.05,INR,0,8529637410,State Bank,Wire,0,0,53707,0.95,5,0.27,39,0,0
INV-10067,INVNO-9729,2026-04-07,2026-05-07,V-321,ABC Steel,abcsteel@example.com,Pune Manufacturing Hub,PO-2358,Electronic Components,392,1663,651896,75557.64,493,726960.64,EUR,1,3216549870,Kotak Bank,Cheque,0,0,67410,10.78,7,0.4,13,0,1
INV-ADD-94,INVNO-ADD-3886,2025-06-24,2025-07-24,V-716,Global Plastics,vendor@example.com,Chennai Port District,PO-4832,Electronic Components,124,774,95976,7681.91,130,103527.91,INR,0,8529637410,ICICI Bank,UPI,0,0,53912,1.92,1,0.2,83,0,0
INV-10514,INVNO-2516,2025-06-11,2025-07-11,V-126,Vertex Components,vertexcomponents@example.com,Chennai Port District,PO-5820,Office Equipment,21,1934,40614,4679.8,264,45029.8,USD,0,7539514560,HDFC Bank,Bank Transfer,0,1,62493,0.72,5,0.34,-270,0,1
INV-10862,INVNO-4144,2026-04-24,2026-05-24,V-744,Sunrise Traders,sunrisetraders@example.com,Pune Manufacturing Hub,PO-7353,Transport Services,385,882,339570,58001.16,1564,396007.16,USD,0,8529637410,Axis Bank,Wire,0,0,65307,6.06,5,0.27,61,0,1
INV-10354,INVNO-9629,2025-11-18,2025-12-18,V-993,Vertex Components,vertexcomponents@example.com,Pune Manufacturing Hub,PO-3883,Industrial Tools,333,1195,397935,51971.48,265,449641.48,USD,0,9876543210,HDFC Bank,UPI,0,0,62534,7.19,10,0.46,157,0,1
INV-10958,INVNO-9323,2026-02-18,2026-03-20,V-717,Omega Supplies,omegasupplies@example.com,Mumbai Industrial Area,PO-3908,Office Equipment,42,503,21126,1292.21,1815,20603.21,INR,1,8529637410,Axis Bank,Bank Transfer,0,0,65842,0.31,6,0.78,17,1,1
INV-ADD-48,INVNO-ADD-1174,2025-04-27,2025-05-27,V-554,Metro Logistics,vendor@example.com,Delhi Business Park,PO-1096,Steel Sheets,60,180,10800,844.63,1269,10375.63,INR,0,1593572580,Axis Bank,UPI,0,0,41871,0.25,4,0.26,51,0,0
INV-10811,INVNO-1891,2025-08-03,2025-09-02,V-701,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-4130,Packaging Materials,327,1743,569961,54736.69,203,624494.69,USD,1,3216549870,State Bank,Cheque,0,1,52286,11.94,5,0.86,-222,0,1
INV-10076,INVNO-8134,2025-02-18,2025-03-20,V-520,Omega Supplies,omegasupplies@example.com,Pune Manufacturing Hub,PO-3619,Steel Sheets,323,798,257754,29507.67,784,286477.67,INR,1,3216549870,Axis Bank,Cheque,1,0,49757,5.76,8,0.2,-180,0,1
INV-10756,INVNO-5855,2026-01-06,2026-02-05,V-597,Delta Electronics,deltaelectronics@example.com,Pune Manufacturing Hub,PO-6334,Industrial Tools,380,1164,442320,75008.81,591,516737.81,INR,1,1234567890,Axis Bank,UPI,0,1,43033,12.01,4,0.39,127,1,1
INV-10792,INVNO-6258,2026-01-20,2026-02-19,V-931,Sunrise Traders,sunrisetraders@example.com,Chennai Port District,PO-5229,Office Equipment,192,830,159360,26126.15,1703,183783.15,EUR,1,1234567890,State Bank,UPI,0,1,53394,3.44,7,0.78,80,1,1
INV-10070,INVNO-7756,2025-03-05,2025-04-04,V-600,Sunrise Traders,sunrisetraders@example.com,Ahmedabad Trade Center,PO-5863,Machine Spare Parts,384,1302,499968,68176.97,430,567714.97,USD,0,1234567890,Kotak Bank,Bank Transfer,1,0,45168,12.57,8,0.22,-373,0,1
INV-10579,INVNO-8040,2025-04-19,2025-05-19,V-194,Sunrise Traders,sunrisetraders@example.com,Bangalore Tech Zone,PO-9337,Machine Spare Parts,123,275,33825,3372.73,1036,36161.73,INR,1,8529637410,Axis Bank,Wire,1,1,66079,0.55,1,0.23,-386,0,1
INV-ADD-144,INVNO-ADD-1669,2025-01-17,2025-02-16,V-149,ABC Steel,vendor@example.com,Delhi Business Park,PO-3931,Industrial Tools,79,497,39263,1986.5,484,40765.5,USD,0,9876543210,Kotak Bank,UPI,0,0,43306,0.94,1,0.22,88,0,0
INV-ADD-116,INVNO-ADD-4651,2025-08-06,2025-09-05,V-451,Omega Supplies,vendor@example.com,Bangalore Tech Zone,PO-5124,Electronic Components,162,368,59616,6859.66,303,66172.66,INR,0,9876543210,Axis Bank,Wire,0,0,52678,1.26,4,0.28,73,0,0
INV-10575,INVNO-2383,2025-08-27,2025-09-26,V-828,Vertex Components,vertexcomponents@example.com,Mumbai Industrial Area,PO-8702,Electronic Components,118,385,45430,3862.31,1164,48128.31,INR,1,1234567890,State Bank,UPI,0,0,49827,0.97,9,0.81,-144,0,1
INV-10344,INVNO-7227,2025-05-04,2025-06-03,V-135,Prime Packaging,primepackaging@example.com,Hyderabad Logistics Park,PO-2189,Packaging Materials,55,1405,77275,13804.73,771,90308.73,USD,0,4567891230,IndusInd Bank,Wire,1,1,41099,2.2,10,0.4,116,0,1
INV-10823,INVNO-9853,2025-06-14,2025-07-14,V-752,Delta Electronics,deltaelectronics@example.com,Delhi Business Park,PO-3010,Packaging Materials,137,1380,189060,24293.91,966,212387.91,USD,1,8529637410,ICICI Bank,Cheque,0,1,69113,3.07,5,0.12,76,0,1
INV-10277,INVNO-2235,2025-03-22,2025-04-21,V-812,ABC Steel,abcsteel@example.com,Chennai Port District,PO-6161,Electronic Components,244,207,50508,8087.76,714,57881.76,EUR,1,9876543210,ICICI Bank,UPI,0,1,77069,0.75,7,0.16,-378,0,1
INV-10490,INVNO-3503,2025-12-11,2026-01-10,V-837,Sunrise Traders,sunrisetraders@example.com,Chennai Port District,PO-4350,Electronic Components,318,1642,522156,31602.94,1118,552640.94,INR,1,1593572580,State Bank,Cheque,0,0,52603,10.51,10,0.7,-98,1,1
INV-10218,INVNO-4722,2025-11-12,2025-12-12,V-404,Delta Electronics,deltaelectronics@example.com,Delhi Business Park,PO-8843,Electronic Components,176,268,47168,7115.02,1707,52576.02,INR,1,1593572580,Kotak Bank,UPI,0,0,68745,0.76,2,0.84,142,0,1
INV-10198,INVNO-6641,2025-03-04,2025-04-03,V-952,Global Plastics,globalplastics@example.com,Bangalore Tech Zone,PO-1383,Plastic Containers,216,1405,303480,15343.44,392,318431.44,EUR,1,7539514560,ICICI Bank,Cheque,0,1,53334,5.97,6,0.37,-351,0,1
INV-10886,INVNO-3916,2026-02-23,2026-03-25,V-473,Metro Logistics,metrologistics@example.com,Hyderabad Logistics Park,PO-4353,Industrial Tools,269,1658,446002,37889.83,1994,481897.83,INR,0,8529637410,Kotak Bank,UPI,0,1,79610,6.05,1,0.54,328,0,1
INV-10990,INVNO-4305,2025-07-27,2025-08-26,V-816,Global Plastics,globalplastics@example.com,Chennai Port District,PO-2298,Steel Sheets,92,1046,96232,14884.45,759,110357.45,USD,1,8529637410,ICICI Bank,UPI,0,0,63034,1.75,10,0.7,105,1,0
INV-10464,INVNO-3587,2025-11-20,2025-12-20,V-254,Delta Electronics,deltaelectronics@example.com,Pune Manufacturing Hub,PO-1279,Steel Sheets,358,689,246662,30262.35,1890,275034.35,INR,1,8529637410,HDFC Bank,Wire,0,0,75096,3.66,3,0.39,218,0,0
INV-10917,INVNO-4862,2025-07-11,2025-08-10,V-295,ABC Steel,abcsteel@example.com,Ahmedabad Trade Center,PO-2007,Machine Spare Parts,226,664,150064,16643.98,934,165773.98,INR,1,4567891230,Kotak Bank,Cheque,0,1,79011,2.1,2,0.77,-172,0,1
INV-ADD-134,INVNO-ADD-3068,2025-03-17,2025-04-16,V-111,Sunrise Traders,vendor@example.com,Chennai Port District,PO-1918,Machine Spare Parts,75,106,7950,646.44,891,7705.44,INR,0,8529637410,ICICI Bank,Wire,0,0,66268,0.12,4,0.26,55,0,0
INV-10261,INVNO-1386,2025-06-26,2025-07-26,V-153,Metro Logistics,metrologistics@example.com,Pune Manufacturing Hub,PO-8872,Machine Spare Parts,348,1251,435348,34419.92,183,469584.92,USD,1,1234567890,Kotak Bank,Bank Transfer,0,0,76233,6.16,2,0.74,-292,0,1
INV-10346,INVNO-9079,2025-08-08,2025-09-07,V-805,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-7606,Electronic Components,42,619,25998,2716.81,1916,26798.81,USD,1,1234567890,Kotak Bank,UPI,0,1,66895,0.4,9,0.21,-100,0,1
INV-10936,INVNO-2614,2025-08-27,2025-09-26,V-641,Metro Logistics,metrologistics@example.com,Ahmedabad Trade Center,PO-1914,Industrial Tools,16,802,12832,2220.15,74,14978.15,INR,0,7539514560,ICICI Bank,UPI,0,1,56441,0.27,2,0.31,55,0,1
INV-ADD-131,INVNO-ADD-8191,2026-04-09,2026-05-09,V-792,ABC Steel,vendor@example.com,Hyderabad Logistics Park,PO-3456,Steel Sheets,42,726,30492,2912.36,385,33019.36,EUR,0,7418529630,Axis Bank,Cheque,0,0,62136,0.53,3,0.31,44,0,0
INV-10506,INVNO-2124,2026-02-16,2026-03-18,V-247,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-5330,Steel Sheets,249,280,69720,9363.2,321,78762.2,EUR,1,3216549870,Axis Bank,Cheque,0,1,75637,1.04,3,0.59,64,1,1
INV-10752,INVNO-3320,2025-02-02,2025-03-04,V-902,Sunrise Traders,sunrisetraders@example.com,Ahmedabad Trade Center,PO-8964,Electronic Components,117,1970,230490,41034.73,1037,270487.73,USD,0,7539514560,Axis Bank,Cheque,0,1,76692,3.53,6,0.26,-209,0,1
INV-10882,INVNO-4668,2025-07-29,2025-08-28,V-582,Vertex Components,vertexcomponents@example.com,Hyderabad Logistics Park,PO-6726,Office Equipment,130,145,18850,1801.05,535,20116.05,INR,1,4567891230,Axis Bank,UPI,0,1,69460,0.29,9,0.6,182,1,1
INV-10265,INVNO-3616,2025-07-07,2025-08-06,V-931,ABC Steel,abcsteel@example.com,Mumbai Industrial Area,PO-4764,Plastic Containers,256,1646,421376,47747.14,1682,467441.14,USD,0,4567891230,Axis Bank,Bank Transfer,0,1,57037,8.2,1,0.43,-47,0,1
INV-10247,INVNO-7619,2026-05-08,2026-06-07,V-408,Prime Packaging,primepackaging@example.com,Delhi Business Park,PO-9519,Machine Spare Parts,367,321,117807,7615.8,527,124895.8,EUR,1,4567891230,ICICI Bank,Cheque,1,0,59575,2.1,3,0.48,491,1,1
INV-10945,INVNO-6240,2026-03-16,2026-04-15,V-628,Prime Packaging,primepackaging@example.com,Chennai Port District,PO-1284,Plastic Containers,137,369,50553,4462.23,1494,53521.23,USD,0,7539514560,HDFC Bank,UPI,1,0,72129,0.74,2,0.34,86,0,1
INV-10043,INVNO-9076,2026-01-03,2026-02-02,V-519,Sunrise Traders,sunrisetraders@example.com,Bangalore Tech Zone,PO-2130,Transport Services,100,133,13300,2014.31,146,15168.31,INR,1,1234567890,ICICI Bank,Cheque,0,1,65343,0.23,8,0.83,-96,0,1
INV-10967,INVNO-1087,2026-04-16,2026-05-16,V-226,Vertex Components,vertexcomponents@example.com,Hyderabad Logistics Park,PO-9217,Transport Services,283,1763,498929,80547.21,1334,578142.21,USD,0,1234567890,ICICI Bank,UPI,1,0,52283,11.06,10,0.13,234,0,1
INV-ADD-240,INVNO-ADD-3459,2025-03-24,2025-04-23,V-961,Metro Logistics,vendor@example.com,Pune Manufacturing Hub,PO-1557,Packaging Materials,106,154,16324,1304.63,899,16729.63,EUR,0,7539514560,HDFC Bank,UPI,0,0,50750,0.33,3,0.36,63,0,0
INV-10353,INVNO-8560,2025-02-26,2025-03-28,V-965,Omega Supplies,omegasupplies@example.com,Mumbai Industrial Area,PO-2808,Electronic Components,35,393,13755,2117.96,272,15600.96,USD,0,3216549870,HDFC Bank,Cheque,0,0,55204,0.28,1,0.82,-164,0,1
INV-10983,INVNO-5295,2025-12-20,2026-01-19,V-765,Sunrise Traders,sunrisetraders@example.com,Pune Manufacturing Hub,PO-8004,Industrial Tools,3,1129,3387,486.01,571,3302.01,USD,0,7539514560,IndusInd Bank,UPI,0,0,72613,0.05,7,0.43,115,0,0
INV-10578,INVNO-6722,2026-03-30,2026-04-29,V-591,Vertex Components,vertexcomponents@example.com,Hyderabad Logistics Park,PO-8034,Transport Services,42,246,10332,1259.9,780,10811.9,USD,0,3216549870,ICICI Bank,Wire,0,0,63349,0.17,2,0.24,215,0,0
INV-10630,INVNO-9080,2025-02-23,2025-03-25,V-196,Prime Packaging,primepackaging@example.com,Hyderabad Logistics Park,PO-2921,Transport Services,62,546,33852,4341.58,1550,36643.58,INR,1,4567891230,HDFC Bank,UPI,0,0,47645,0.77,8,0.2,-35,1,1
INV-10619,INVNO-4479,2025-03-30,2025-04-29,V-821,Prime Packaging,primepackaging@example.com,Hyderabad Logistics Park,PO-5863,Industrial Tools,294,1874,550956,60374.47,1149,610181.47,USD,0,8529637410,ICICI Bank,Bank Transfer,0,0,65058,9.38,1,0.52,-29,1,1
INV-ADD-70,INVNO-ADD-4441,2025-08-14,2025-09-13,V-138,Vertex Components,vendor@example.com,Ahmedabad Trade Center,PO-9989,Machine Spare Parts,4,308,1232,67.38,1462,-162.62,EUR,0,7539514560,Axis Bank,Wire,0,0,71079,-0.0,5,0.27,90,0,0
INV-ADD-339,INVNO-ADD-6570,2025-11-09,2025-12-09,V-262,Prime Packaging,vendor@example.com,Pune Manufacturing Hub,PO-2163,Steel Sheets,31,1187,36797,2911.79,491,39217.79,INR,0,9876543210,IndusInd Bank,Wire,0,0,66835,0.59,3,0.35,25,0,0
INV-10259,INVNO-5965,2026-04-27,2026-05-27,V-653,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-5460,Office Equipment,218,1109,241762,22092.14,1521,262333.14,USD,1,4567891230,IndusInd Bank,Wire,1,0,68670,3.82,10,0.13,311,0,1
INV-10982,INVNO-6900,2025-10-14,2025-11-13,V-908,ABC Steel,abcsteel@example.com,Pune Manufacturing Hub,PO-2160,Plastic Containers,121,1308,158268,19377.64,878,176767.64,USD,0,4567891230,Kotak Bank,Bank Transfer,0,0,77625,2.28,6,0.26,178,0,0
INV-10554,INVNO-6864,2025-02-06,2025-03-08,V-313,Vertex Components,vertexcomponents@example.com,Pune Manufacturing Hub,PO-6184,Steel Sheets,70,1780,124600,16360.1,678,140282.1,EUR,1,9876543210,Axis Bank,UPI,0,0,46234,3.03,4,0.23,-324,0,1
INV-10065,INVNO-5958,2025-10-05,2025-11-04,V-376,Delta Electronics,deltaelectronics@example.com,Ahmedabad Trade Center,PO-3618,Machine Spare Parts,193,1298,250514,34876.41,594,284796.41,USD,1,1234567890,Axis Bank,Wire,0,0,60997,4.67,1,0.62,-110,0,1
INV-10482,INVNO-1876,2025-10-01,2025-10-31,V-794,Prime Packaging,primepackaging@example.com,Bangalore Tech Zone,PO-1710,Packaging Materials,72,1358,97776,16552.85,1591,112737.85,INR,1,1234567890,Axis Bank,Wire,0,1,56762,1.99,1,0.65,30,1,1
INV-10947,INVNO-3288,2026-04-27,2026-05-27,V-438,Vertex Components,vertexcomponents@example.com,Chennai Port District,PO-9812,Machine Spare Parts,256,486,124416,11882.59,836,135462.59,USD,0,7418529630,HDFC Bank,Wire,0,0,65252,2.08,4,0.26,129,1,0
INV-10427,INVNO-2855,2025-12-21,2026-01-20,V-364,Prime Packaging,primepackaging@example.com,Chennai Port District,PO-3279,Electronic Components,196,493,96628,5200.69,189,101639.69,INR,1,1234567890,HDFC Bank,UPI,1,1,63953,1.59,6,0.87,135,1,1
INV-ADD-355,INVNO-ADD-3226,2026-04-24,2026-05-24,V-132,Prime Packaging,vendor@example.com,Chennai Port District,PO-1496,Plastic Containers,52,1219,63388,6239.68,1146,68481.68,INR,0,1234567890,HDFC Bank,UPI,0,0,70453,0.97,3,0.16,56,0,0
